Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Вейдле В.;Критик «приближений»;Рецензия на художественную книгу;Ш. дю Бо;Французская литература;XXв.;Французская литература;1/2 XIXв.;Сент-Бёв Ш. О. де;;Последние новости;Париж;Газета;№4124;07.07.1932;3;Чердак;;
Словцов Р.;Некрасов и цензура;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Некрасов Н.А.;Полное собрание стихотворений Н.А. Некрасова;Последние новости;Париж;Газета;№4124;07.07.1932;4;Подвал;;
Юниус;О печати;Обзорная статья;;Общее;Общее;;;Цицерон;;Последние новости;Париж;Газета;№4125;08.07.1932;5;Подвал;;
Кузнецова Г.;Дневник К. Мансфельд;Персональная статья;Мансфильд К.;Английская литература;XXв.;;;;Дневник;Последние новости;Париж;Газета;№4131;14.07.1932;2;Подвал;;
Бунин;Памяти Ивана Савина;Некролог;Савин И.И.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4131;14.07.1932;3;Чердак;;
Вейдле В.;Опыты Кокто;Рецензия на художественную книгу;Кокто Ж.;Французская литература;XXв.;;;;Essai de critique indirecte;Последние новости;Париж;Газета;№4131;14.07.1932;3;Чердак;;
Г.А.;«Время»;Рецензия на художественную книгу;Вихровский Н.;Русская литература;Эмигрантская литература;;;;Время;Последние новости;Париж;Газета;№4131;14.07.1932;3;Чердак;;
Словцов Р.;Русские Беранже;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Курочкин В.С.;В.С. Курочкин. Собрание стихотворений;Последние новости;Париж;Газета;№4131;14.07.1932;3;Подвал;;
Словцов Р.;Неизданные письма М.Е. Салтыкова;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;Неизведанные письма (1844—1889);Последние новости;Париж;Газета;№4136;19.07.1932;4;Подвал;;
Словцов Р.;Салтыков и его «компания мушкетеров»;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;Неизведанные письма (1844—1889);Последние новости;Париж;Газета;№4138;21.07.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Караваева А.А.;Русская литература;Советская литература;;;;Крутая ступень;Последние новости;Париж;Газета;№4145;28.07.1932;3;Подвал;;
